Location,Pool ID,Type,Sample Type,Date,Date Classification,Specific Date Classification,Order,Family,Genus,Species,Code,Notes, , , , , , , , , , , , , , , , , , 
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,bean ,white/green,CYBWG1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Bean,Sage,CYBS1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Cyprettinae?,Green,CYCP,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,,Triangle,Emerald Green,TREG1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,Light Green,BELG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,,Bean,Translucent Green,BETG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Triangle,Light Green,TRLG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,White,CYBW7,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Cyprettinae?,Green,CYCP,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,,Small Bean,Green,SBGR1,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,,Bean,Shiny White,BESW1,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Triangle,Green,TRGR4,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Ilocyprididae?,,,ILU2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,emerald Green,CYBEG1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,Green,CYBG5,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,Sage,CYBS2,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Cyprettinae?,,CYCP,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Cyprettinae?,Tan,CYCPT,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Long ,White,CYLW2,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,Green,CYBG6,,,,,,,,,,,,,,,,,,,
ncos,4,Created,SW1,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Long,White,CYLW3,,,,,,,,,,,,,,,,,,,
ncos,4,Created,SW1,1-May-19,LATE,LATE 2,Ostracod,,Bean,Green,BEGR7,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,White,CYBW8,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Fat Bean ,White,CYFBW1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,White Green,CYBWG2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,Green,CYBG7,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,,Semicircle,Bluegreen,SCBG1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae?,Bean,Beige,CYBB1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Triangle,Green,CYTG2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW9,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW10,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG8,,,,,,,,,,,,,,,,,,,
